-3.0684724091	10	-8.7670640259	10
-6.4400529734	10	-12	10
0.718910098	10	2.0540288514	10
11.7363926698	10	33.5325504851	10
3.3819773481	10	9.662792423	10
-5.1919056495	10	-14.8340161415	10
-6.7435511391	10	-20.9430510765	10
-1.4	10	-4	10
7.3197631052	10	12.7533277685	10
-3.9292928288	10	-9.9286446755	10
-8.751511339	10	-25.0043181113	10
9.3749362382	10	30	10
15.3394125805	10	43.3511850736	10
0.7588616759	10	-1.8653015047	10
-14.3088744192	10	-40	10
4.3678043281	10	7.7156166523	10
13.649921633	10	38.9997760942	10
6.75	10	20	10.8
-14.5867507984	3	-15	3
15.2884127381	3	15	3
