Tab delimited: specimen, step, Dspec, Ispec, Intensity A/m, Azimuth, Hade, Dip direction, Dip
HB010201A	0C	22.2	76.3	0.1234909	116	82	230	22
HB010201A	5C	23.6	74.1	0.1278632	116	82	230	22
HB010201A	10C	31.3	74.9	0.1253555	116	82	230	22
HB010201A	15C	28.2	73.9	0.1144945	116	82	230	22
HB010201A	20C	32.5	75.4	0.1033441	116	82	230	22
HB010201A	25C	31	73.9	0.08951832	116	82	230	22
HB010201A	30C	31.2	73.7	0.07482012	116	82	230	22
HB010201A	40C	46.5	69.4	0.06346621	116	82	230	22
HB010201A	50C	58.9	70.6	0.05247151	116	82	230	22
HB010201A	60C	18.1	71	0.04367265	116	82	230	22
HB010201A	70C	36.7	62.8	0.03981369	116	82	230	22
HB010201A	80C	37.1	58	0.03383519	116	82	230	22
HB010201A	90C	32.7	69.5	0.0333042	116	82	230	22
HB010201A	100C	38.7	60.5	0.02470344	116	82	230	22
HB010202A	0C	27.9	80.9	0.1215319	116	82	230	22
HB010202A	100C	15.3	84.6	0.1205405	116	82	230	22
HB010202A	150C	36.3	81.4	0.1243986	116	82	230	22
HB010202A	200C	37.3	77.8	0.1248239	116	82	230	22
HB010202A	250C	22.4	81.5	0.1243664	116	82	230	22
HB010202A	300C	25.2	81.1	0.1214619	116	82	230	22
HB010202A	350C	27.9	81.2	0.1254831	116	82	230	22
HB010202A	400C	21	83.5	0.1227925	116	82	230	22
HB010202A	450C	5.7	85.1	0.1174308	116	82	230	22
HB010202A	475C	27.9	80.3	0.1136398	116	82	230	22
HB010202A	500C	23.2	81.9	0.1080787	116	82	230	22
HB010202A	510C	20	83.5	0.1036629	116	82	230	22
HB010202A	520C	12.5	84.8	0.1014199	116	82	230	22
HB010202A	530C	29.2	81.5	0.09867857	116	82	230	22
HB010202A	540C	28.5	79.4	0.09178051	116	82	230	22
HB010202A	550C	32.8	79.7	0.06718236	116	82	230	22
HB010202A	560C	38.7	68.3	0.01904994	116	82	230	22
HB010202A	570C	41.4	60.2	0.01370657	116	82	230	22
HB010202A	580C	42	58.1	0.01119337	116	82	230	22
HB010203A	0C	9.5	82.5	0.1401927	116	82	230	22
HB010203A	100C	349.7	85.3	0.1374554	116	82	230	22
HB010203A	150C	23.2	80.5	0.1379058	116	82	230	22
HB010203A	200C	25.7	77.4	0.1373099	116	82	230	22
HB010203A	250C	7.6	83.6	0.1348518	116	82	230	22
HB010203A	300C	7.1	82.9	0.1309962	116	82	230	22
HB010203A	350C	17.5	81.5	0.1354733	116	82	230	22
HB010203A	400C	3.8	83.5	0.1328533	116	82	230	22
HB010203A	450C	0	84.5	0.1255747	116	82	230	22
HB010203A	475C	22.8	80.3	0.121758	116	82	230	22
HB010203A	500C	347.5	85.4	0.1143722	116	82	230	22
HB010203A	510C	17.4	81.3	0.1112699	116	82	230	22
HB010203A	520C	348.7	84.6	0.1074849	116	82	230	22
HB010203A	530C	20.6	80.7	0.1053945	116	82	230	22
HB010203A	540C	19	80.3	0.09821349	116	82	230	22
HB010203A	550C	18	81	0.08627335	116	82	230	22
HB010203A	560C	22.5	78.6	0.04120704	116	82	230	22
HB010203A	570C	35	72.5	0.0203374	116	82	230	22
HB010203A	580C	27.7	73.4	0.01585717	116	82	230	22
HB010303A	0C	196.2	74	0.7800872	115	26	230	22
HB010303A	100C	204.6	69.6	0.7104858	115	26	230	22
HB010303A	150C	208.4	75.6	0.6090755	115	26	230	22
HB010303A	200C	221.6	80.9	0.5245884	115	26	230	22
HB010303A	250C	238.5	74	0.4722933	115	26	230	22
HB010303A	300C	259.3	73.2	0.4084373	115	26	230	22
HB010303A	350C	298.4	71.8	0.3632368	115	26	230	22
HB010303A	400C	308.5	67.7	0.3297166	115	26	230	22
HB010303A	450C	310.4	64.4	0.3071254	115	26	230	22
HB010303A	475C	325.1	62.4	0.2945318	115	26	230	22
HB010303A	500C	315.6	60.3	0.2821861	115	26	230	22
HB010303A	510C	326.3	58.8	0.2712876	115	26	230	22
HB010303A	520C	319.9	58.1	0.2649038	115	26	230	22
HB010303A	530C	329.5	56.6	0.2574743	115	26	230	22
HB010303A	540C	332.5	54.8	0.2446426	115	26	230	22
HB010303A	550C	330.8	54.3	0.2315686	115	26	230	22
HB010303A	560C	321.3	57	0.1883083	115	26	230	22
HB010303A	570C	243	56.9	0.09037837	115	26	230	22
HB010303A	580C	234.5	45.7	0.05894319	115	26	230	22
HB010303A	590C	235.1	56.2	0.06152219	115	26	230	22
